,Bi_Grams,Freq
2776,فرد تھا,4
2777,تھا دل,4
2779,تا جگر,4
13147,انجمن میں,4
2780,جگر کہ,4
7914,سن کے,4
7364,کیا خوب,4
13330,مگر یہ,4
2781,کہ ساحل,4
2782,ساحل دریائے,4
2752,کا کھٹکا,4
4148,ہے اور,4
2828,ہے حق,4
2783,دریائے خوں,4
7923,کہا جو,4
1114,مانا کہ,4
2754,لگا ہوا,4
962,سے بھی,4
1815,حجاب ہے,4
3178,دل اگر,4
2548,یہ وہ,4
4163,نے وہ,4
3177,ہم دل,4
1812,یاں ورنہ,4
3360,جس قدر,4
1813,ورنہ جو,4
1814,جو حجاب,4
3931,ہوئے پهر,4
2773,خیال ابھی,4
1817,پردہ ہے,4
1818,ہے ساز,4
2669,مشکل پسند,4
1819,ساز کا,4
1820,کا رنگ,4
8525,نہ دے,4
2600,ہوا ہوں,4
408,وہ شوخ,4
2751,مرگ کا,4
4348,دل کہ,4
8663,فرمائیں گے,4
6747,کو ہے,4
2590,و ساغر,4
2556,خط سے,4
12314,روشن ہو,4
1854,میں میرا,4
9213,غمِ عشق,4
12184,آیا ہے,4
4329,تھا موجِ,4
1311,کم ہے,4
1310,کیا کم,4
1309,یہ کیا,4
1859,ایک ہی,4
331,میں ہم,4
729,بادہ خوار,4
2829,حق مغفرت,4
2924,کے بھی,4
1495,دیکھا تو,4
11435,اور کیا,4
2917,تھا سو,4
2915,نہ نکلا,4
2750,میں مرگ,4
8408,نقشِ قدم,4
2748,تھا زندگی,4
11459,بچا کے,3
6779,میں رہے,3
3262,نمک چھڑکا,3
3325,خوں بہا,3
3270,پایا ہے,3
3267,پوچھے تم,3
3269,کیا مزا,3
3286,بے دماغ,3
9357,سکتا ہے,3
3263,چھڑکا آپ,3
8175,گئی ہے,3
13271,کی انجمن,3
9375,عشق میں,3
2636,ہوا نہ,3
3259,نے زخم,3
12847,کی ہو,3
5829,کی ہیں,3
919,تو ہم,3
1536,سے تیرے,3
11431,بہت کچھ,3
908,و خم,3
7822,خدا کرے,3
3260,زخم پر,3
2735,میں مر,3
891,کوچے سے,3
2632,ناتوانی سے,3
2688,کو ہمارا,3
9397,درد کا,3
10178,نے کی,3
3382,تیرے کوچے,3
868,تر سے,3
6980,و بے,3
6720,دل ہوں,3
1563,دشت میں,3
6301,غمِ الفت,3
953,جن سے,3
1586,کو اپنے,3
888,ہو کر,3
4988,وا ہو,3
2673,بہ یک,3
3266,کوئی پوچھے,3
3261,پر نمک,3
2678,آیا بہ,3
3227,میں جرأت,3
13285,مغرب کے,3
2912,آہ جو,3
10376,تھا نہ,3
2976,کہ یک,3
2975,دل دیکھ,3
8021,مجھے وہ,3
5574,کبھی جو,3
10478,کو ہم,3
4871,نہ مانگ,3
8046,جانتا ہے,3
1294,ہاتھ میں,3
6829,و رباب,3
1408,نامہ بر,3
1298,گو نہ,3
2937,ہے ہر,3
4884,یک جنبشِ,3
1308,پر یہ,3
2919,طوفاں نکلا,3
10399,ہوگی آہ,3
2918,سو طوفاں,3
2916,نکلا تھا,3
1318,ہے خیال,3
2914,قطرہ نہ,3
8014,کم نہیں,3
12885,اب وہ,3
1427,ایک ایک,3
1447,توڑا جو,3
1461,پھرو کہ,3
1460,کھینچے پھرو,3
1459,کو کھینچے,3
1458,نعش کو,3
13382,چمن کا,3
1457,میری نعش,3
1452,تمثال دار,3
1227,ہے اک,3
3044,وصل و,3
1446,آرزو توڑا,3
6858,و تاب,3
1243,رنگ میں,3
7977,کہ ہو,3
1440,اب میں,3
1438,یار تھا,3
1433,پڑا حساب,3
1257,رب یہ,3
1432,دینا پڑا,3
1431,مجھے دینا,3
2997,تو بھی,3
2913,جو قطرہ,3
2909,شور اٹھایا,3
9180,فنا ہے,3
2908,اک شور,3
2870,بزم سے,3
5610,خدا نے,3
2868,جو تری,3
2867,محفل جو,3
1401,یہ حال,3
1371,میں مرا,3
2861,نکلا بوئے,3
10446,گم گشتہ,3
2856,تیر بھی,3
2834,تھا شوق,3
2835,شوق ہر,3
2849,داد نہ,3
2848,نے داد,3
2847,زخم نے,3
2846,نکلا زخم,3
6230,نہیں بے,3
2844,بھی عریاں,3
2843,تصویر کے,3
2842,قیس تصویر,3
2841,نکلا قیس,3
9040,نازک پہ,3
2871,سے نکلا,3
