,Uni_Grams,Freq
3065,شرمندہٴ,2
3067,کاکلِ,2
3929,سحاب,2
3073,صدمہٴ,2
3912,ضرب,2
3077,سروساماں,2
3911,شگاف,2
3910,خیام,2
3080,نالٴہ,2
3076,رقیبِ,2
3158,گرہِ,2
1905,تاثیر,2
1919,اضطرابِ,2
3074,عیسیٰ,2
1921,الفتِ,2
1902,ہمتِ,2
3904,شرمسار,2
3072,محرومیٴ,2
3081,مائدہٴ,2
3071,گلبانگِ,2
3070,تقویٰ,2
1904,آہِ,2
3915,غرب,2
1928,باعثِ,2
3068,جادہٴ,2
3897,تابدار,2
3084,ہمتِِ,2
1882,شک,2
1848,نشاطِ,2
3852,انگیز,2
2005,سیہ,2
1862,مانندِ,2
1860,تگ,2
3180,حمد,2
3183,توفیق,2
3093,حِس,2
3094,کٹنے,2
2008,بہاری,2
2009,طرب,2
3184,عطا,2
3914,شرق,2
3152,سرابِ,2
3151,رہگزار,2
3150,دادہٴ,2
3016,سازیٴ,2
3149,آئينہ,2
3148,ماتمِ,2
3946,قرآں,2
3849,گاہے,2
